run_id,epochs,lr,batch_size,window_size,hidden_dim,fc_dim,num_layers_lstm,loop_type,c_mse,c_mae,T_PM_mse,T_PM_mae,d50_mse,d50_mae,d90_mse,d90_mae,d10_mse,d10_mae,T_TM_mse,T_TM_mae
1752707772,70,0.0001,64,10,128,64,2,open,5.26149282716938e-07,0.0003591342941270242,0.18869447346460821,0.20997416604745922,5.464302919392466e-10,1.4167833750890497e-05,6.449924617305158e-10,1.7272406811484046e-05,4.095117808515683e-10,1.344830945774681e-05,0.16826452549705878,0.16983700475058824
1752707999,70,0.0001,64,15,128,64,2,closed,1.3106416360267773e-08,6.915123076271146e-05,0.007609855183202245,0.05778005852060922,5.457636339592467e-13,5.513849729040885e-07,9.475289266747634e-13,7.870358029407607e-07,7.026232055597679e-13,6.326481779470737e-07,0.008216016238471268,0.049284180883318936
1752707999,70,0.0001,64,15,128,64,2,open,7.287318262938699e-07,0.00041761458224103535,0.2330472282800397,0.20759141544749146,5.190724531048643e-10,1.5649411455808778e-05,1.1261703549044e-09,2.7828015224096935e-05,9.182377122591522e-10,2.1607228804860124e-05,0.22584368915501357,0.1743305873408965
1752708230,70,0.0001,64,20,128,64,2,closed,1.2793138579059572e-08,8.249246318651877e-05,0.007767129073810248,0.05537705331898423,5.908680425077933e-13,5.709193160975977e-07,2.4153512114892e-12,1.3312458555500105e-06,9.244401870273109e-13,7.576837020889827e-07,0.008939979195608003,0.048759462434022446
1752708230,70,0.0001,64,20,128,64,2,open,4.474754003940066e-05,0.0036427098516699495,55.14217851214384,3.9610429091685546,6.549677863177187e-09,4.9888186875285876e-05,6.166801477807487e-08,0.00015923486553578604,1.7913770778999624e-09,3.448869614592636e-05,51.259990036568794,3.784818612757609
1752708457,70,0.0005,64,5,128,64,2,closed,7.69077380685892e-09,5.33775421183934e-05,0.004212034005987962,0.041051206448810836,7.74900150736615e-13,6.560584841225744e-07,1.1811038698926815e-12,8.577336891700515e-07,5.905974558444218e-13,5.925286169530459e-07,0.006596629413853009,0.049307056795943126
1752708457,70,0.0005,64,5,128,64,2,open,4.702194062642776e-06,0.0010929230983902003,2.871302578139204,0.8347461581339827,3.4750666871099604e-09,4.89665197576203e-05,5.097026160034232e-09,6.256222337695243e-05,3.797019591180202e-09,5.131106186840968e-05,2.9018231222824618,0.8171399908124863
1752708688,70,0.0005,64,10,128,64,2,closed,9.874554556276693e-09,6.663101497972611e-05,0.004480067792184963,0.04534175504958287,5.680598025730269e-13,5.666385862008306e-07,1.382687535166278e-12,9.935606418013996e-07,5.223358242146446e-13,5.328216275648106e-07,0.005613178492389045,0.04598431744090311
1752708688,70,0.0005,64,10,128,64,2,open,2.497254425459959e-06,0.0007867752017812363,2.0880326645449263,0.7153305706925511,1.1227656433026293e-09,2.281719976729284e-05,2.9391615221045027e-09,4.366134729323611e-05,1.0227655908140878e-09,2.4007963599848977e-05,1.98095546374392,0.6833426284603923
1752708914,70,0.0005,64,15,128,64,2,closed,1.2808991829387381e-08,7.895269201810943e-05,0.007148615133436461,0.06547657828012775,4.457692394523154e-13,5.065333926674306e-07,5.679065878801077e-13,5.710140434539083e-07,7.456933092619831e-13,6.949494465012714e-07,0.006787510196911061,0.06217459368682116
1752708914,70,0.0005,64,15,128,64,2,open,2.4203466435485147e-05,0.002726447162238227,9.248575997645156,1.4826627878628538,2.354867032669827e-09,3.1497930919250676e-05,8.817846454575137e-09,7.252104794493502e-05,2.02708058120842e-09,3.261533665982763e-05,9.337258758032991,1.4735799573637869
1752709138,70,0.0005,64,20,128,64,2,closed,1.9259766569622672e-08,0.00011844697304036936,0.004665695089889978,0.0454989673227015,1.7426701215139933e-12,1.1651049628134831e-06,8.894878952070331e-13,7.740188189848131e-07,1.2910108339030472e-12,8.666925860578621e-07,0.005349539066524933,0.04176279427409558
